C Mapping (NEW 2023),Categories (within the HOMER Curriculum),Majors,Minors,Topics,Skills (Scope and Sequence),US Start Age,US End Age,Temp Skill Code,Number,Standards (if relevant),"Tangible Candidate (i.e., skill well supported through physical products and/or learning with manipulatives)",Currently covered via tangible,Non-HOMER products/experiences,China start,China end,Partner products,Total Manuscripts,,FINAL SkillCode,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,Impact of language,Understands how his/her language and actions demonstrate a sense of respect.,48,72,SsRes219,219,,,,,,,,,,SEL-Soc-reo-4,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,Impact of language,uses appropriate language to talk about people who are different from yourself,60,84,SsRes220,220,,,,,,,,,,SEL-Soc-reo-5,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,social interaction,Appreciates when it is a good idea to help someone with a physical difference and when to let them try on their own.,60,84,SsRes221,221,,,,,,,,,,SEL-Soc-reo-6,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,social interaction,stands up for a person being teased by others  ,60,84,SsRes222,222,,,,,,,,,,SEL-Soc-reo-7,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,social interaction,Can engage in prosocial behavior with others and respond appropriately to adult requests and directions.,48,60,SsRes223,223,,,,,,,,,,SEL-Soc-reo-8,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,Respecting others,social interaction,Can follow social rules and demonstrate respect to others.,48,72,SsRes224,224,,,,,,,,,,SEL-Soc-reo-9,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,listening,NA,Can patiently listen to others ,48,72,Sslis225,225,,,,,,,,,,SEL-Soc-lis-1,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,listening,NA,"Can listen to others' speaking in a conversation, and respond accordingly. ",36,60,Sslis226,226,,,,,,,,,,SEL-Soc-lis-2,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,listening,NA,Can listen and follow directions given by adults. ,36,60,Sslis227,227,,,,,,,,,,SEL-Soc-lis-3,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can initiate and respond in conversations with others.,16,36,Sscon228,228,,,,,,,,,,SEL-Soc-cma-1,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can use eye contact during a conversation. ,16,36,Sscon229,229,,,,,,,,,,SEL-Soc-cma-2,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can stay focused during a conversation. ,24,48,Sscon230,230,,,,,,,,,,SEL-Soc-cma-3,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can vary tone and volume of expression to match the social situation with increasing independence.,36,60,Sscon231,231,,,,,,,,,,SEL-Soc-cma-4,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can greet others by their name. ,36,60,Sscon232,232,,,,,,,,,,SEL-Soc-cma-5,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,"Can wait for his/her to speak or break the conversation politely, instead of interrupting the conversation abruptly. ",36,72,Sscon233,233,,,,,,,,,,SEL-Soc-cma-6,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,conversation manners,NA,Can add positive comments to his/her communications with others. ,48,72,Sscon234,234,,,,,,,,,,SEL-Soc-cma-7,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,assertiveness,NA,"Can confidently share his/her ideas openly, particularly when prompted by an adult. ",36,48,Ssass235,235,,,,,,,,,,SEL-Soc-ass-1,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,assertiveness,NA,Can politely state his/her needs when others failed to notice. ,36,60,Ssass236,236,,,,,,,,,,SEL-Soc-ass-2,,,,,,,,
Character,Social Emotional Learning ,social skills: relationships,assertiveness,NA,"Can find ways to state needs, likes, dislikes, desired changes in ways that do not upset others ",48,60,Ssass237,237,,,,,,,,,,SEL-Soc-ass-3,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Cooperative play,NA,"Can participate in imitation games, such as making similar sounds or running after another child.",8,18,SSCoo238,238,,,,,,,,,,SEL-Soc-coo-1,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Cooperative play,NA,Can engage in parallel play.,18,30,SSCoo239,239,,,,,,,,,,SEL-Soc-coo-2,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Cooperative play,NA,Can join in play with other children by sometimes taking turns or doing joint activities with a common goal. ,24,48,SSCoo240,240,,,,,,,,,,SEL-Soc-coo-3,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Inviting others to play,NA,"Shows enjoyment of play with other children, such as through verbal exchanges, smiles, and laughter. ",18,24,SSInv241,241,,,,,,,,,,SEL-Soc-inv-1,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Inviting others to play,NA,Can work with other children to plan and enact their play in a coordinated way. ,36,48,SSInv242,242,,,,,,,,,,SEL-Soc-inv-2,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Inviting others to play,NA,Demonstrates willingness to include others’ ideas during interactions and play.,36,60,SSInv243,243,,,,,,,,,,SEL-Soc-inv-3,,,,,,,,
Character,Social Emotional Learning ,Social Skills: relationships,Inviting others to play,NA,Proactively invites others to play together. ,48,60,SSInv244,244,,,,,,,,,,SEL-Soc-inv-4,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Walk up and down stairs one step at a time,24,40,PMGro1,1,,,,,,,,,,PHY-Mov-gro-1,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Jump on both feet ,24,40,PMGro2,2,,,,,,,,,,PHY-Mov-gro-2,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Jump off a step,28,42,PMGro3,3,,,,,,,,,,PHY-Mov-gro-3,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,stand and walk on tiptoe ,28,42,PMGro4,4,,,,,,,,,,PHY-Mov-gro-4,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,kick a ball ,24,36,PMGro5,5,,,,,,,,,,PHY-Mov-gro-5,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,"Begins to run with short stride length and
feet off the ground for a short period
of time. ",30,42,PMGro6,6,,,,,,,,,,PHY-Mov-gro-6,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,"Jump over small objects (i.e. an orange, a chalk)",36,44,PMGro7,7,,,,,,,,,,PHY-Mov-gro-7,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,gallops,36,48,PMGro8,8,,,,,,,,,,PHY-Mov-gro-8,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Leaps,36,48,PMGro9,9,,,,,,,,,,PHY-Mov-gro-9,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,slides,36,48,PMGro10,10,,,,,,,,,,PHY-Mov-gro-10,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Walk backwards ,36,50,PMGro11,11,,,,,,,,,,PHY-Mov-gro-11,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Pumps legs on a swing ,36,50,PMGro12,12,,,,,,,,,,PHY-Mov-gro-12,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Walks up and down stairs using alternating feet,36,44,PMGro13,13,,,,,,,,,,PHY-Mov-gro-13,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Rids a tricycle ,36,44,PMGro14,14,,,,,,,,,,PHY-Mov-gro-14,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Attempts to follow lines or patterns on the floor,42,54,PMGro15,15,,,,,,,,,,PHY-Mov-gro-15,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Run with a longer stride length and each foot off the ground for a greater length of time.,42,60,PMGro16,16,,,,,,,,,,PHY-Mov-gro-16,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Hops on one foot,48,60,PMGro17,17,,,,,,,,,,PHY-Mov-gro-17,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Follow more complicated patterns on the floor (i.e. zigag),54,66,PMGro18,18,,,,,,,,,,PHY-Mov-gro-18,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Skips,60,72,PMGro19,19,,,,,,,,,,PHY-Mov-gro-19,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Legs,Can peddle riding toys,54,72,PMGro20,20,,,,,,,,,,PHY-Mov-gro-20,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Arms,Can bounce a ball several times to catch from a stationary position,36,48,PMGro21,21,,,,,,,,,,PHY-Mov-gro-21,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Arms,Able to catch a bounced ball most of the time,48,60,PMGro22,22,,,,,,,,,,PHY-Mov-gro-22,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Arms,Throws a ball overhand,36,50,PMGro23,23,,,,,,,,,,PHY-Mov-gro-23,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Arms,roll a ball underhand,36,50,PMGro24,24,,,,,,,,,,PHY-Mov-gro-24,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Arms,Climbs up and down on furniture without help,30,40,PMGro25,25,,,,,,,,,,PHY-Mov-gro-25,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Can carry a toy while walking without dropping,18,30,PMGro26,26,,,,,,,,,,PHY-Mov-gro-26,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Can hold or carry a liquid containter (i.e. a small bucket of water) while walking,,,PMGro27,27,,,,,,,,,,PHY-Mov-gro-27,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Stands on one foot and balances for 5-10 second ,48,60,PMGro28,28,,,,,,,,,,PHY-Mov-gro-28,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,"Walks with ralatively narrow base of support(space between feet), such as walking across a beam/a narrow path ",54,66,PMGro29,29,,,,,,,,,,PHY-Mov-gro-29,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Stands on one foot and balances for 10-20 second ,60,72,PMGro30,30,,,,,,,,,,PHY-Mov-gro-30,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Can maintain balance when reach for toes,42,54,PMGro31,31,,,,,,,,,,PHY-Mov-gro-31,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Balance,Can balance an object (such as a beanbag) on top of head for several seconds.,60,72,PMGro32,32,,,,,,,,,,PHY-Mov-gro-32,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,"Engages in dance movements (i.e. hops while listening to music, use scarf to imitate ocean waves when listening to music)",30,42,PMGro33,33,,,,,,,,,,PHY-Mov-gro-33,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,"Responds to instruction of one skill at a time during movement, such as a jump or fall.",30,42,PMGro34,34,,,,,,,,,,PHY-Mov-gro-34,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,Explores and uses different steps and movements to create or form a dance.,30,42,PMGro35,35,,,,,,,,,,PHY-Mov-gro-35,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,Begins to improvise simple dances. ,30,42,PMGro36,36,,,,,,,,,,PHY-Mov-gro-36,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,Further engages and participates in dance movements. (i.e. can turn and bow when music ends; demonstrate dance movements to friends),42,60,PMGro37,37,,,,,,,,,,PHY-Mov-gro-37,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,"Can respond to instruction of more than
one skill at a time in movement,
such as turning, leaping, and turning
again. Often initiate a sequence of
skills.",48,72,PMGro38,38,,,,,,,,,,PHY-Mov-gro-38,,,,,,,,
Core,Physical Development ,Movement ,Gross motor,Full body movement: Dance,Can use understanding of different steps and movements to create or form a dance.,48,72,PMGro39,39,,,,,,,,,,PHY-Mov-gro-39,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can put shapes into a shape sorter,12,24,PMFin40,40,,,,,,,,,,PHY-Mov-fin-1,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can fold a paper ,18,36,PMFin41,41,,,,,,,,,,PHY-Mov-fin-2,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can finger paint with intentional direction at an easel or to paint colors in intentionnal places on a paper,18,36,PMFin42,42,,,,,,,,,,PHY-Mov-fin-3,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can put large pieces of pegged puzzles into the appropriate holes,18,36,PMFin43,43,,,,,,,,,,PHY-Mov-fin-4,,,,,,,,
Core,Physical Development ,Movement ,,coordinate hand eye movements,Can put together a picture with 4-8 pieces interlocked puzzles,36,48,PM44,44,,,,,,,,,,PHY-Mov-fin-5,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can draw simple shapes like circles,36,48,PMFin45,45,,,,,,,,,,PHY-Mov-fin-6,,,,,,,,
Core,Physical Development ,Movement ,,coordinate hand eye movements,"Can duplicate simple shapes, such as a circle or a cross",36,48,PM46,46,,,,,,,,,,PHY-Mov-fin-7,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can cut paper with scissors,36,48,PMFin47,47,,,,,,,,,,PHY-Mov-fin-8,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can cut on line continuously,48,60,PMFin48,48,,,,,,,,,,PHY-Mov-fin-9,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can color within lines,48,72,PMFin40,40,,,,,,,,,,PHY-Mov-fin-10,should have been 49,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can cut out shapes with scissors,48,72,PMFin50,50,,,,,,,,,,PHY-Mov-fin-11,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,can write letters/draw letter-like forms,48,60,PMFin51,51,,,,,,,,,,PHY-Mov-fin-12,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,coordinate hand eye movements,"can write letters and numbers with increasing accuracy, and with correct stroke orders (i.e. to write number ""1"" from top to down)",72,84,PMFin52,52,,,,,,,,,,PHY-Mov-fin-13,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can use hands to feed self,12,24,PMFin53,53,,,,,,,,,,PHY-Mov-fin-14,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can pick up small objects with pincer grasp,12,24,PMFin54,54,,,,,,,,,,PHY-Mov-fin-15,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can build with blocks; can stack up to 4 blocks,18,24,PMFin55,55,,,,,,,,,,PHY-Mov-fin-16,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can build with blocks; can stack up to 7 blocks,24,36,PMFin56,56,,,,,,,,,,PHY-Mov-fin-17,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,"can use both hands to put things together, such as connecting blocks or linking toys",18,36,PMFin57,57,,,,,,,,,,PHY-Mov-fin-18,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,"can roll, pound, squeeze and pull playdough",18,36,PMFin58,58,,,,,,,,,,PHY-Mov-fin-19,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can string 3-4 large beads,24,36,PMFin59,59,,,,,,,,,,PHY-Mov-fin-20,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,"can make shapes out of playdough or clay (rolls balls, makes snakes etc.)",36,48,PMFin60,60,,,,,,,,,,PHY-Mov-fin-21,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can open door knobs and handles,24,36,PMFin61,61,,,,,,,,,,PHY-Mov-fin-22,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can turn a single page of a book,24,36,PMFin62,62,,,,,,,,,,PHY-Mov-fin-23,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can button and unbutton clothes,24,36,PMFin63,63,,,,,,,,,,PHY-Mov-fin-24,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,Can put on/take off shoes with no laces,36,48,PMFin64,64,,,,,,,,,,PHY-Mov-fin-25,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can dress self independently,48,60,PMFin65,65,,,,,,,,,,PHY-Mov-fin-26,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can tie shoelaces independently,66,84,PMFin66,66,,,,,,,,,,PHY-Mov-fin-27,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use hands,can grasp and use a spoon to feed self,18,24,PMFin67,67,,,,,,,,,,PHY-Mov-fin-28,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use tools ,Can paste/glue a piece of paper (can hold paper with one hand and put glue on it with a glue stick with the other hand),36,48,PMFin68,68,,,,,,,,,,PHY-Mov-fin-29,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use tools ,can fist grasp and use a paintbrush,18,36,PMFin69,69,,,,,,,,,,PHY-Mov-fin-30,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use tools ,can use a rolling pin with playdough or clay,24,36,PMFin70,70,,,,,,,,,,PHY-Mov-fin-31,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use tools ,can use pincer grasp to hold and manipulate a pencil/crayon,48,60,PMFin71,71,,,,,,,,,,PHY-Mov-fin-32,,,,,,,,
Core,Physical Development ,Movement ,Fine Motor,use tools ,can hold a pencil with tripod pencil grip and write with endurance ,72,84,PMFin72,72,,,,,,,,,,PHY-Mov-fin-33,,,,,,,,
Core,Physical Development ,Movement ,Spacial awareness,body awareness,Can point to basic body parts when asked. ,12,24,PMSpa73,73,,,,,,,,,,PHY-Mov-spa-1,,,,,,,,
Core,Physical Development ,Movement ,Spacial awareness,body awareness,"Can move the body parts when prompted (Can play body movement games such as ""Simon says"") ",18,36,PMSpa74,74,,,,,,,,,,PHY-Mov-spa-2,,,,,,,,
Core,Physical Development ,Movement ,Spacial awareness,body awareness,Can name and point to more body parts when asked. ,36,60,PMSpa75,75,,,,,,,,,,PHY-Mov-spa-3,,,,,,,,
Core,Physical Development ,Movement ,Spacial awareness,body awareness,Can understand and describe the functions of body parts. ,36,60,PMSpa76,76,,,,,,,,,,PHY-Mov-spa-4,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,body awareness,"Can use his/her own body as reference
when locating other
people or objects in space.",36,48,PMSpa77,77,,,,,,,,,,PHY-Mov-spa-5,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,body awareness,"Can follow directions to move self over/under, in/out, above/
below, and next to another object. ",48,72,PMSpa78,78,,,,,,,,,,PHY-Mov-spa-6,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,body awareness,Can maintains space around self to avoid collision with others. ,36,60,PMSpa79,79,,,,,,,,,,PHY-Mov-spa-7,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,"Can distinguish and follow movements that are up and down and to the side of the body, such as to look at one side and then the other side.",36,48,PMSpa80,80,,,,,,,,,,PHY-Mov-spa-8,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,Can follow instructions to place something on top of or under an other object.,36,48,PMSpa81,81,,,,,,,,,,PHY-Mov-spa-9,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,Can move forward and backward (or up and down) during play.,36,48,PMSpa82,82,,,,,,,,,,PHY-Mov-spa-10,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,Can imitate adults or peers to move in the same direction. ,36,60,PMSpa83,83,,,,,,,,,,PHY-Mov-spa-11,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,Begin to understand and distinguish the two sides of the body.,48,60,PMSpa84,84,,,,,,,,,,PHY-Mov-spa-12,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,"Can follow instructions to change directions (up, down, forward and backward) quickly and accurately.",48,60,PMSpa85,85,,,,,,,,,,PHY-Mov-spa-13,,,,,,,,
Core,Physical Development ,Movement ,Spatial awareness,directional awareness,Can distinguish left and right. ,60,84,PMSpa86,86,,,,,,,,,,PHY-Mov-spa-14,,,,,,,,
Core,Physical Development ,Movement ,Physical play,,Shows satisfaction with new active skills and strengths.,24,36,PMPhy87,87,,,,,,,,,,PHY-Mov-php-1,,,,,,,,
Core,Physical Development ,Movement ,Physical play,,Demonstrates strength and stamina by spending moderate periods of time engaged in active physical play indoors and out.,18,36,PMPhy88,88,,,,,,,,,,PHY-Mov-php-2,,,,,,,,
Core,Physical Development ,Movement ,Physical play,,Demonstrates increasing strength and stamina by spending longer periods of time engaged in more intense physical play indoors and out.,36,72,PMPhy89,89,,,,,,,,,,PHY-Mov-php-3,,,,,,,,
Core,Physical Development ,Movement ,Physical play,,"Can participate in simple games and other structured motor activities that enhance physical fitness (songs with movement, throwing and catching).",36,60,PMPhy90,90,,,,,,,,,,PHY-Mov-php-4,,,,,,,,
Core,Physical Development ,Movement ,Physical play,,"Can participate in more complex games and other structured motor activities that enhance strength, speed, flexibility and coodination (i.e. Simon says, race etc.)",48,72,PMPhy91,91,,,,,,,,,,PHY-Mov-php-5,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,"When falls, has the confidence to get up and try again",9,18,PMPhy92,92,,,,,,,,,,PHY-Mov-phc-1,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,Show willingness to try new actions ,18,96,PMPhy93,93,,,,,,,,,,PHY-Mov-phc-2,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,"Is willing to take risks when engaging in physical activities, such as using higher slide in the play ground",18,96,PMPhy94,94,,,,,,,,,,PHY-Mov-phc-3,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,"Takes pride of accomplishing physical feats (i.e. by saying ""look at me!"" or ""I did this!"" ",36,96,PMPhy95,95,,,,,,,,,,PHY-Mov-phc-4,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,Feels comfortable with different kinds of sports and other physical activities,36,96,PMPhy96,96,,,,,,,,,,PHY-Mov-phc-5,,,,,,,,
Core,Physical Development ,Movement ,Physical confidence,,"Awares of their limits, but also awares those limits can be overcome",48,96,PMPhy97,97,,,,,,,,,,PHY-Mov-phc-6,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,"Explains why taking deep breaths is good for the body (e.g. ""It helps calm me down"" or ""it helps my heartbeat slow down after exercise"")",24,48,PHBei98,98,,,,,,,,,,PHY-Hea-bei-1,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,Monitors self by stopping/slowing activity when out of breath or heart beat is too fast,24,72,PHBei99,99,,,,,,,,,,PHY-Hea-bei-2,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,Monitors self by restarting activity when heart beat and breath is back to normal (understanding energy),24,72,PHBei100,100,,,,,,,,,,PHY-Hea-bei-3,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,"Communicates how their body feels in various ways (by pointing, rubbing, holding the body part)",24,36,PHBei101,101,,,,,,,,,,PHY-Hea-bei-4,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,"When prompted, takes breaths of varying depth (regular vs. deep)",36,60,PHBei102,102,,,,,,,,,,PHY-Hea-bei-5,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,"Tells when they are tired, sore, or rested and ready for more ",36,72,PHBei103,103,,,,,,,,,,PHY-Hea-bei-6,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Monitoring,"When prompted to slow down/stop vigorous activity, understands why it is important for the safety of their body",36,72,PHBei104,104,,,,,,,,,,PHY-Hea-bei-7,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,"When prompted, points to main body parts (Level 1- head, shoulders, knees, toes, heart)",12,24,PHBei105,105,,,,,,,,,,PHY-Hea-bei-8,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,"When prompted, points to main body parts (Level 2-eyes, ears, mouth, nose, arms, legs, feet)",24,48,PHBei106,106,,,,,,,,,,PHY-Hea-bei-9,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,"Explains what the heart does for the body (e.g. ""it keeps us alive"" or ""it pumps blood through the body"")",24,48,PHBei107,107,,,,,,,,,,PHY-Hea-bei-10,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,Knows that a stethoscope is used to check heartbeat,36,60,PHBei108,108,,,,,,,,,,PHY-Hea-bei-11,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,"Explains how/why the heartbeat changes during exercise/physical activity (e.g. ""My body needs to move faster so my heart has to pump more blood to my body parts"")",48,72,PHBei109,109,,,,,,,,,,PHY-Hea-bei-12,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Body Parts,"Explains what sweat is, and why it happens during exercise/vigorous activity or in hot weather (e.g. ""my body gets hot, and makes water to help me cool down"")",48,72,PHBei110,110,,,,,,,,,,PHY-Hea-bei-13,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Exercise Attire,Gets shoes and/or assists with getting clothes when it's time for exercise/physical play,24,36,PHBei111,111,,,,,,,,,,PHY-Hea-bei-14,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Attire,"Tells whether one or another article of clothing is the right one to wear when going to play outdoors vs indoors (e.g. When asked ""Should you wear pajamas to go the playground?,"" would reply ""no"")",36,48,PHBei112,112,,,,,,,,,,PHY-Hea-bei-15,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Attire,"When prompted, chooses appropriate attire for engaging in moderate to vigorous physical activity  (e.g. If they are going to the playground, can choose sneakers, and comfortable clothing to wear)",48,60,PHBei113,113,,,,,,,,,,PHY-Hea-bei-16,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Attire,"When asked, can explain what they should wear for exercising/physical activity and why it is appropriate versus another article of clothing (e.g. Can explain that they should wear sneakers instead of flip flops because they will be running and flip flops will fall off or trip them)",60,72,PHBei114,114,,,,,,,,,,PHY-Hea-bei-17,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Exercise Items,"Gets and/or assists with getting items (ball, jumprope, etc.) when it's time for exercise/physical play",24,36,PHBei115,115,,,,,,,,,,PHY-Hea-bei-18,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Items,"Tells whether one or another item is the right one to take when going to play outdoors vs indoors (e.g. When asked ""Should you take the soccer ball?,"" would reply ""yes"")",36,48,PHBei116,116,,,,,,,,,,PHY-Hea-bei-19,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Items,"When prompted, chooses appropriate items for engaging in moderate to vigorous physical activity (e.g. Will gather bat, ball, and mitt if they are going to play baseball/softball)",48,60,PHBei117,117,,,,,,,,,,PHY-Hea-bei-20,,,,,,,,
Critical Thinking,Physical Development ,Healthy Development,Being Active,Exercise Items,"When asked, can explain what they should bring for exercising/physical activity and why it is approriate versus another item (e.g. Can explain that/why they need a bat, ball, mitt, and helmet if they are going to little league)",60,72,PHBei118,118,,,,,,,,,,PHY-Hea-bei-21,,,,,,,,
Core,Physical Development ,Healthy Development,Being Active,Exercise Routine,"Copies peers and adults when engaged in warming up for exercise, performing exercise and cooling down from exercise  ",24,48,PHBei119,119,,,,,,,,,,PHY-Hea-bei-22,,,,,,,,
